Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Jungle Cruise,/release/rl3657795073/?ref_=bo_yld_table_11,Walt Disney Studios Motion Pictures,"$35,018,731",-,"Jul 30, 2021",PG-13,2 hr 7 min,"['Action', 'Adventure', 'Comedy', 'Fantasy']",161 days/23 weeks,"4,310 theaters","Jaume Collet-Serra

","
$116,987,516
","
$103,901,930
","
$220,889,446
"
Godzilla vs. Kong,/release/rl1383892481/?ref_=bo_yld_table_12,Warner Bros.,"$31,625,971",-,"Mar 31, 2021",PG-13,1 hr 53 min,"['Action', 'Sci-Fi', 'Thriller']",282 days/40 weeks,"3,084 theaters","Adam Wingard

","
$100,916,094
","
$369,200,000
","
$470,116,094
"
Dune: Part One,/release/rl3162015233/?ref_=bo_yld_table_13,Warner Bros.,"$41,011,174",-,"Oct 22, 2021
            -
            Apr 7, 2022",PG-13,2 hr 35 min,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",436 days/62 weeks,"4,125 theaters","Denis Villeneuve

","
$108,327,830
","
$293,800,000
","
$402,127,830
"
Halloween Kills,/release/rl319063553/?ref_=bo_yld_table_14,Universal Pictures,"$49,404,980","$20,000,000","Oct 15, 2021",R,1 hr 45 min,"['Action', 'Drama', 'Horror', 'Thriller']",84 days/12 weeks,"3,727 theaters","David Gordon Green

","
$92,002,155
","
$39,645,000
","
$131,647,155
"
Encanto,/release/rl1887208961/?ref_=bo_yld_table_15,Walt Disney Studios Motion Pictures,"$27,206,494",-,"Nov 24, 2021",PG,1 hr 42 min,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",403 days/57 weeks,"3,980 theaters","Jared Bush

","
$96,093,622
","
$160,693,120
","
$256,786,742
"
Cruella,/release/rl3708126721/?ref_=bo_yld_table_16,Walt Disney Studios Motion Pictures,"$21,496,997",-,"May 28, 2021",PG-13,2 hr 14 min,"['Adventure', 'Comedy', 'Crime', 'Drama']",218 days/31 weeks,"3,922 theaters","Craig Gillespie

","
$86,103,234
","
$147,400,000
","
$233,503,234
"
Sing 2,/release/rl302024193/?ref_=bo_yld_table_17,Universal Pictures,"$22,326,230",-,"Dec 22, 2021",PG,1 hr 50 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",375 days/53 weeks,"3,892 theaters","Garth Jennings

","
$162,790,990
","
$245,611,695
","
$408,402,685
"
Space Jam: A New Legacy,/release/rl973374977/?ref_=bo_yld_table_18,Warner Bros.,"$31,053,362",-,"Jul 16, 2021",PG,1 hr 55 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi', 'Sport']",175 days/25 weeks,"4,002 theaters","Malcolm D. Lee

","
$70,592,228
","
$93,100,000
","
$163,692,228
"
The Conjuring: The Devil Made Me Do It,/release/rl3842475521/?ref_=bo_yld_table_19,Warner Bros.,"$24,104,332",-,"Jun 4, 2021",R,1 hr 52 min,"['Horror', 'Mystery', 'Thriller']",217 days/31 weeks,"3,280 theaters","Michael Chaves

","
$65,631,050
","
$140,800,000
","
$206,431,050
"
Candyman,/release/rl1913030145/?ref_=bo_yld_table_20,Universal Pictures,"$22,001,750",-,"Aug 27, 2021",R,1 hr 31 min,"['Horror', 'Thriller']",133 days/19 weeks,"3,569 theaters","Nia DaCosta

","
$61,186,570
","
$16,225,000
","
$77,411,570
"
The Boss Baby: Family Business,/release/rl1594066433/?ref_=bo_yld_table_21,Universal Pictures,"$16,000,665",-,"Jul 2, 2021",PG,1 hr 47 min,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",183 days/26 weeks,"3,688 theaters","Tom McGrath

","
$57,300,280
","
$89,445,000
","
$146,745,280
"
